3	B	376
4	E	390
4	G	126
4	F#	226
4	E	492
4	B	232
4	A	720
4	F#	736
4	E	350
4	G	178
4	F#	166
4	D	466
4	F#	258
3	B	1198
3	B	240
4	E	364
4	G	140
4	F#	238
4	E	446
4	B	252
5	D	434
5	C#	280
5	C#	412
4	A	40
5	C#	272
4	B	346
4	Bb	130
3	B	244
4	G	456
4	E	248
4	G	1200
4	B	246
4	G	474
4	B	242
4	G	498
5	C#	234
4	B	442
4	Bb	242
4	F#	492
4	G	240
4	B	360
4	Bb	142
3	C#	216
4	B	406
4	B	296
4	G	1142
4	B	300
4	G	464
4	B	256
4	G	498
5	D	186
5	C#	482
5	C	266
4	A	482
4	C	252
4	B	336
3	Bb	102
3	B	252
4	G	492
4	E	226
4	E	696
