3	A	300
4	D	300
4	D	300
4	F#	300
4	B	300
4	F#	300
4	A	800
4	A	300
4	B	300
4	A	300
4	F#	300
4	G	300
4	F#	300
4	E	800
3	B	300
4	E	300
4	E	300
4	F#	300
5	C#	300
5	C#	300
4	B	300
4	A	300
4	G	800
4	G	300
4	F#	300
3	B	800
4	C#	300
4	D	300
4	E	2600
3	A	300
4	D	300
4	D	300
4	F#	300
4	B	300
4	F#	300
4	A	800
4	A	300
4	B	300
4	A	300
4	F#	300
4	G	300
4	F#	300
4	E	800
3	B	300
4	E	300
4	E	300
4	F#	300
5	C#	300
5	C#	300
4	B	300
4	A	300
4	G	800
4	G	300
4	F#	300
4	C#	600
4	E	600
4	D	2600
4	B	300
4	B	300
4	B	300
4	A	300
4	G	200
4	A	200
4	B	200
4	A	800
4	E	300
4	F#	300
4	G#	300
4	E	300
4	A	2000
